"nombre simplificado","nombre_completo"
"Octubre","12 de Octubre"
"Agosto","15 de Agosto"
"Agosto","17 de Agosto"
"mayo","25 de mayo"
"febrero","3 de febrero"
"Noviembre","4 de Noviembre"
"Julio","9 de Julio"
"García","Abdón García"
"Lincoln","Abraham Lincoln"
"Aconcagua","Aconcagua"
"Alsina","Adolfo Alsina"
"Agrelo","Agrelo"
"Agüero","Agüero"
"Badaraco","Agustín Badaraco"
"Cafferata","Agustín Cafferata"
"Zárate","Agustín de Zárate"
"Magaldi","Agustín Magaldi"
"Argentinas","Alas Argentinas"
"Storni","Alfonsina Storni"
"Alianza","Alianza"
"Justo","Alicia Moreau de Justo"
"Almafuerte","Almafuerte"
"Brown","Almirante Guillermo Brown"
"Alpacatal","Alpacatal"
"Podestá","Altos de Podestá"
"Jonte","Álvarez Jonte"
"Fazio","Ambrosio de Fazio"
"Ferreyra","Andrés Ferreyra"
"Gallini","Ángel Gallini"
"Pini","Angel Pini"
"Moriondo","Angelo Moriondo"
"Collia","Anibal Collia"
"1852","Año 1852"
"Argentina","Antártida Argentina"
"Beruti","Antonio Beruti"
"Capurro","Antonio Capurro"
"Conde","Antonio Conde"
"Garavano","Antonio Garavano"
"Santamarina","Antonio Santamarina"
"Colombo","Aquilino Colombo"
"Arenales","Arenales"
"Arévalo","Arévalo"
"Argentina","Argentina"
"Valle","Aristobulo del Valle"
"Aristoteles","Aristoteles"
"Arrayán","Arrayán"
"Asamblea","Asamblea"
"Asunción","Asunción"
"Montanelli","Aurelio Montanelli"
"América","Avenida América"
"Mitre","Avenida Bartolome Mitre"
"Márquez","Avenida Bernabé Márquez"
"Vélez","Avenida Díaz Vélez"
"Balbín","Avenida Doctor Ricardo Balbín"
"Perón","Avenida Eva Duarte de Perón"
"Gaona","Avenida Gaona"
"Paz","Avenida General José María Paz"
"Carril","Avenida Hugo del Carril"
"Plata","Avenida La Plata"
"Libertad","Avenida Libertad"
"Maipú","Avenida Maipú"
"Alvear","Avenida Marcelo Torcuato de Alvear"
"Militar","Avenida Militar"
"Perón","Avenida Presidente Juan Domingo Perón"
"Rivadavia","Avenida Rivadavia"
"Martín","Avenida San Martín"
"Ferro","Avenida Senador Benito Ferro"
"Triunvirato","Avenida Triunvirato"
"Agnetta","Aviador Agnetta"
"Finochietti","Aviador Alfredo Finochietti"
"Ballod","Aviador Ballod"
"Behrens","Aviador Behrens"
"Matienzo","Aviador Benjamín Matienzo"
"Bieriot","Aviador Bieriot"
"Bosch","Aviador Bosch"
"Bradley","Aviador Bradley"
"Cattaneo","Aviador Cattaneo"
"Chaves","Aviador Chaves"
"Coli","Aviador Coli"
"Curtis","Aviador Curtis"
"Eusebione","Aviador Eusebione"
"Fels","Aviador Fels"
"Ficarelli","Aviador Ficarelli"
"Franco","Aviador Franco"
"Fredes","Aviador Fredes"
"Gablenz","Aviador Gablenz"
"Gadda","Aviador Gadda"
"Herten","Aviador Herten"
